Modalità;Punteggio AI;Consiglio;Titolo;Azienda;Sede;Fonte;Programmazione richiesta;Smart Working;Contratto;Junior Friendly;Anni esperienza richiesti;Punti forza per Diego;Punti deboli per Diego;Riassunto AI;Stipendio Min (jobspy);Stipendio Max (jobspy);RAL Stimata AI;Reputazione Azienda;Adatta Neolaureati;Note Azienda;Ricerca usata;Link;Mandata candidatura?
Torino;8;Valutabile;Global Software Security Engineer SD&I Immuno;Diasorin;Saluggia, Piedmont, Italy;linkedin;Alta;Non specificato;Dipendente;Sì;0;esperienza in cybersecurity;richiede programmazione intensa;Global Software Security Engineer in Diasorin, richiede esperienza in sicurezza software;N/D;N/D;30.000€-40.000€;Buona;Sì;azienda nota nel settore diagnostico;Junior Cybersecurity Analyst;https://www.linkedin.com/jobs/view/4369063574;
Full Remote IT;8;Candidati subito;Cybersecurity Analyst Junior;NEOS;Somma Lombardo, LOM, IT;indeed;Media;Non specificato;Dipendente;Sì;0;La posizione di Cybersecurity Analyst Junior è in linea con le sue aspirazioni e competenze in cybersecurity.;La richiesta di supportare la pianificazione e la gestione operativa delle soluzioni di cybersicurezza potrebbe richiedere una programmazione occasionale.;Posizione di Cybersecurity Analyst Junior presso Neos S.p.A., compagnia aerea italiana. Il ruolo prevede supporto alla pianificazione e gestione della cybersecurity.;N/D;N/D;25.000€-35.000€;Buona;Sì;Neos S.p.A. è una compagnia aerea italiana con una lunga esperienza nel settore.;Junior Cybersecurity Analyst;https://it.indeed.com/viewjob?jk=f631aca9f14dfad2;
Full Remote IT;8;Candidati subito;Medical Devices Cybersecurity Specialist;PQE Group;;linkedin;Media;Sì;Dipendente;Sì;0;Competenze in Cybersecurity valorizzate;Richiede programmazione;PQE Group cerca Medical Devices Cybersecurity Specialist. Ruolo adatto a neolaureati.;N/D;N/D;30.000€-40.000€;Buona;Sì;PQE Group è un'azienda con esperienza nel settore Cybersecurity;Junior Cybersecurity Analyst;https://www.linkedin.com/jobs/view/4357741929;
Torino;8;Valutabile;ESPERTE/I IN ARTIFICIAL INTELLIGENCE E DATA ANALYTICS;PRAXI;Turin, Piedmont, Italy;linkedin;Media;Non specificato;Non specificato;Sì;1;L'offerta riguarda Artificial Intelligence, ambito di interesse per Diego.;L'offerta non specifica il tipo di contratto.;Offerta per esperti in Artificial Intelligence e Data Analytics presso PRAXI. Ambito interessante per Diego.;N/D;N/D;25.000€-35.000€;Buona;Sì;PRAXI sembra essere un'azienda con una buona reputazione.;Junior RPA Developer;https://www.linkedin.com/jobs/view/4374265196;
Torino;8;Candidati subito;VEL - addetto/a Product-Program Assurance Engineer;Leonardo;Torino, PIE, IT;indeed;Media;Non specificato;Dipendente;Sì;0;Leonardo è un'azienda importante e prestigiosa;Non è specificato se ci sono possibilità di smart working;L'offerta riguarda un ruolo di Product-Program Assurance Engineer presso Leonardo a Torino;N/D;N/D;30.000€-40.000€;Ottima;Sì;Leonardo è un gruppo industriale internazionale con una solida presenza in Italia e all'estero;Junior Quality Assurance;https://it.indeed.com/viewjob?jk=12964b88ea41e9fa;
Full Remote IT;8;Candidati subito;AI Red Team Analyst Remote $50/hr;Mercor;;linkedin;Bassa;Sì;Non specificato;Sì;1;Competenze in AI Automation e No-Code;Offerta in valuta estera e RAL non specificata;AI Red Team Analyst, Mercor, remote, $50/hr;N/D;N/D;40.000€-60.000€;Sconosciuta;Sì;Azienda Mercor non specificata ulteriormente;Junior Cybersecurity Analyst;https://www.linkedin.com/jobs/view/4379776102;
Full Remote IT;8;Candidati subito;Analista Funzionale Junior;Warp Tech;Torino, PIE, IT;indeed;Bassa;No;Dipendente;Sì;0;La posizione enfatizza l'uso di strumenti AI e analisi, in linea con le preferenze di Diego.;La richiesta di lavoro in sede almeno 2 giorni a settimana potrebbe non essere ideale per Diego se preferisce il full-remote.;Posizione di Analista Funzionale Junior presso Warp Tech, con focus su analisi e utilizzo di strumenti AI. Richiede lavoro in sede a Torino almeno 2 giorni a settimana.;N/D;N/D;25.000€-35.000€;Buona;Sì;Warp Tech è un system integrator di primo piano che si concentra su soluzioni innovative per infrastrutture cloud Azure e ibride.;Prompt Engineer Junior;https://it.indeed.com/viewjob?jk=dc36d2840c785135;
Torino;8;Candidati subito;Tesi - Progettazione ed implementazione di modelli per l'interazione di precisione in ambienti virtuali e complessi;Leonardo;Torino, PIE, IT;indeed;Media;Non specificato;Dipendente;Sì;0;Opportunità di lavorare con un'azienda leader nel settore;Richiede una conoscenza specifica del dominio;Tesi di laurea presso Leonardo, con focus su modelli per l'interazione in ambienti virtuali;N/D;N/D;25.000€-35.000€;Ottima;Sì;Azienda leader nel settore Aerospazio, Difesa e Sicurezza;Stage Informatica Torino;https://it.indeed.com/viewjob?jk=16aec9982c25a088;
Full Remote IT;8;Candidati subito;Digital Analyst Junior | GA4, GTM;HRM;Milano, LOM, IT;indeed;Bassa;Sì;Dipendente;Sì;0;L'offerta si concentra su analisi e configurazione, allineandosi con le sue preferenze.;Potrebbe richiedere alcune competenze specifiche su GA4 e GTM.;L'offerta riguarda un ruolo di Digital Analyst Junior presso HRM, con focus su GA4 e GTM.;N/D;N/D;25.000€-35.000€;Buona;Sì;Offre benefici come remote working e formazione personalizzata.;Junior Data Analyst;https://it.indeed.com/viewjob?jk=b8d8685f243cf830;
Full Remote IT;8;Candidati subito;Go-to-Market Strategy Junior Consultant;BIP;Milano, LOM, IT;indeed;Bassa;Non specificato;Dipendente;Sì;0;L'offerta si concentra su analisi e strategia, allineandosi con le sue preferenze.;Potrebbe richiedere una conoscenza più approfondita del settore commerciale e delle tecnologie utilizzate.;L'offerta riguarda un ruolo di Junior Consultant per supportare progetti di trasformazione commerciale e digitale.;N/D;N/D;25.000€-35.000€;Buona;Sì;BIP sembra essere un'azienda dinamica e innovativa con una practice di Commercial Transformation.;Junior AI Consultant;https://it.indeed.com/viewjob?jk=6b8cc2759dc380cf;
Full Remote IT;8;Candidati subito;Junior Analyst Neolaureati (Hybrid);NTWK;Milano, LOM, IT;indeed;Media;Sì;Dipendente;Sì;0;La posizione richiede analisi e logica, in linea con le preferenze di Diego.;La posizione potrebbe richiedere una conoscenza più approfondita del settore finanziario.;Posizione Junior Analyst per neolaureati in risk management. Contratto a tempo indeterminato e smart working.;N/D;N/D;25.000€-35.000€;Buona;Sì;NTWK è un'azienda italiana specializzata nella ricerca e selezione del personale.;Junior IT Analyst;https://it.indeed.com/viewjob?jk=4637975a9f3f7571;
Torino;8;Candidati subito;Junior IT Audit Consultant (Rif. 2026-74);aizoOn Technology Consulting;Turin, Piedmont, Italy;linkedin;Media;Non specificato;Dipendente;Sì;0;L'offerta sembra allineata con le sue preferenze per logica, analisi e sicurezza.;Potrebbe richiedere più programmazione di quanto Diego preferisca.;L'offerta di Junior IT Audit Consultant presso aizoOn Technology Consulting sembra interessante per Diego.;N/D;N/D;25.000€-35.000€;Buona;Sì;aizoOn Technology Consulting è un'azienda di consulenza tecnologica.;Junior IT Consultant;https://www.linkedin.com/jobs/view/4374880994;
Full Remote IT;8;Valutabile;AI Red Team Tester;Alignerr;;linkedin;Media;Non specificato;Non specificato;Sì;0;L'offerta sembra allineata con le sue competenze in AI e sicurezza;Potrebbe richiedere programmazione più di quanto Diego preferisca;L'offerta AI Red Team Tester sembra adatta a Diego per le sue competenze in AI e sicurezza;N/D;N/D;25.000€-35.000€;Sconosciuta;Sì;Azienda Alignerr non ha informazioni disponibili;Junior RPA Developer;https://www.linkedin.com/jobs/view/4378729171;
Full Remote IT;8;Candidati subito;Consultant, Generalist, Italy;Boston Consulting Group;Roma, LAZ, IT;indeed;Media;Sì;Dipendente;Sì;0;Opportunità di lavorare con team di alto livello;Possibilità di essere coinvolto in progetti che richiedono programmazione intensa;Boston Consulting Group cerca un Consultant Generalist in Italia. Lavoro ibrido o full-remote possibile.;N/D;N/D;45.000€-60.000€;Ottima;Sì;Azienda leader nella consulenza strategica con una forte presenza globale;Junior AI Consultant;https://it.indeed.com/viewjob?jk=9c71779490c209b9;fin qui
Torino;7;Valutabile;tesi/SW;Leonardo;San Maurizio Canavese, PIE, IT;indeed;Media;Non specificato;Stage;Sì;0;Opportunità di lavorare in un'azienda leader nel settore;Non specificato se è prevista una posizione a tempo indeterminato;Leonardo offre un'opportunità di stage per studenti universitari per svolgere la tesi.;N/D;N/D;20.000€-25.000€;Ottima;Sì;Azienda leader nel settore Aerospazio, Difesa e Sicurezza;Stage Informatica Torino;https://it.indeed.com/viewjob?jk=11cb9238bf799a47;
Torino;7;Valutabile;IT Cloud Support Engineer;Warp Tech;Turin, Piedmont, Italy;linkedin;Media;Non specificato;Non specificato;Sì;0;Possibilità di lavorare con tecnologie cloud;Mancanza di informazioni dettagliate sul tipo di contratto;Offerta interessante per un neolaureato in Informatica con possibilità di lavorare in ambito cloud;N/D;N/D;25.000€-35.000€;Sconosciuta;Sì;Azienda Warp Tech non descritta nel dettaglio;Junior Cloud Support Engineer;https://www.linkedin.com/jobs/view/4375828639;
Torino;7;Valutabile;Cloud / DevOps Engineer (AI Infrastructure);AI4I;Turin, Piedmont, Italy;linkedin;Alta;Non specificato;Non specificato;Sì;0|1;Competenze in AI Infrastructure;Richiede programmazione intensa;AI4I cerca Cloud/DevOps Engineer per AI Infrastructure;N/D;N/D;25.000€-35.000€;Buona;Sì;Azienda focalizzata sull'AI;Junior Cloud Support Engineer;https://www.linkedin.com/jobs/view/4380361437;
Full Remote IT;7;Valutabile;CRM Specialist;Trenord srl;Milano, LOM, IT;indeed;Bassa;Non specificato;Dipendente;Sì;0;Competenze in analisi e automazione sono valorizzate;Richiede coordinamento con reparti interni;CRM Specialist per migliorare customer experience e ottimizzare marketing digitale;N/D;N/D;25.000€-35.000€;Buona;Sì;Azienda nota per servizi di trasporto ferroviario;Junior AI Automation Specialist;https://it.indeed.com/viewjob?jk=8d9d6184bd26bc4b;
Torino;7;Candidati subito;Cyber Security - Cloud&Network - Torino;PwC Italy;Turin, Piedmont, Italy;linkedin;Media;Sì;Dipendente;Sì;0;PwC Italy offre una posizione in linea con le aspirazioni di Diego in Cyber Security;La richiesta di programmazione potrebbe non essere ideale per Diego;PwC Italy cerca un Cyber Security per Cloud&Network a Torino, smart working disponibile;N/D;N/D;35.000€-45.000€;Ottima;Sì;PwC Italy è un'azienda di servizi professionali molto nota e rispettata;Junior Cybersecurity Analyst;https://www.linkedin.com/jobs/view/4361693847;
Torino;7;Valutabile;Cybersecurity Engineer F/M;Médiane Système;Turin, Piedmont, Italy;linkedin;Alta;Non specificato;Dipendente;Sì;0;Competenze in Cybersecurity valorizzate;Richiede programmazione intensa;Offerta per Cybersecurity Engineer, azienda Médiane Système, contratto dipendente.;N/D;N/D;30.000€-40.000€;Buona;Sì;Azienda specializzata in soluzioni di sicurezza;Junior Cybersecurity Analyst;https://www.linkedin.com/jobs/view/4376968168;
Torino;7;Valutabile;Esperto di cybersecurity;Teoresi Group;Turin, Piedmont, Italy;linkedin;Media;Non specificato;Dipendente;Sì;0;Cybersecurity è in linea con il suo Master;Potrebbe richiedere programmazione;Offerta per Esperto di Cybersecurity presso Teoresi Group, contratto dipendente;N/D;N/D;25.000€-35.000€;Buona;Sì;Teoresi Group è un'azienda consolidata nel settore IT;Junior Cybersecurity Analyst;https://www.linkedin.com/jobs/view/4351960674;
Torino;7;Valutabile;Cyber Security Threat Hunting Specialist;MSC Mediterranean Shipping Company;;linkedin;Media;Sì;Dipendente;Sì;0;L'offerta si concentra sulla sicurezza, area di interesse per Diego.;Potrebbe richiedere una conoscenza specifica in Threat Hunting.;L'offerta riguarda un ruolo di Cyber Security Threat Hunting Specialist presso MSC Mediterranean Shipping Company.;N/D;N/D;30.000€-40.000€;Buona;Sì;Azienda di trasporto marittimo con una buona reputazione a livello globale.;Junior Cybersecurity Analyst;https://www.linkedin.com/jobs/view/4343686677;
Torino;7;Valutabile;OT Security Specialist;NEVERHACK Italy;;linkedin;Media;Non specificato;Dipendente;Sì;0;Competenze in Cybersecurity valorizzate;Programmazione richiesta;OT Security Specialist, ruolo interessante per neolaureati in Informatica;N/D;N/D;25.000€-35.000€;Buona;Sì;Azienda focalizzata sulla sicurezza informatica;Junior Cybersecurity Analyst;https://www.linkedin.com/jobs/view/4374255685;
Torino;7;Candidati subito;Cyber Security Operations Center Engineer;MSC Mediterranean Shipping Company;;linkedin;Media;Sì;Dipendente;Sì;0;Esperienza in Cybersecurity;Richiede programmazione;Offerta interessante per Diego, ruolo in Cybersecurity;N/D;N/D;35.000€-45.000€;Ottima;Sì;Azienda leader nel settore dei trasporti;Junior Cybersecurity Analyst;https://www.linkedin.com/jobs/view/4370693706;
Torino;7;Valutabile;System Requirement Engineer;Teoresi Group;Turin, Piedmont, Italy;linkedin;Media;Sì;Dipendente;Sì;0;Il ruolo di System Requirement Engineer potrebbe valorizzare le sue capacità di analisi e logica.;Potrebbe richiedere una programmazione più intensa di quanto Diego preferisca.;Ruolo di System Requirement Engineer presso Teoresi Group, adatto per neolaureati con possibilità di smart working.;N/D;N/D;30.000€-40.000€;Buona;Sì;Teoresi Group sembra essere un'azienda con una buona reputazione per i neolaureati.;Junior System Administrator;https://www.linkedin.com/jobs/view/4011655560;
Torino;7;Valutabile;Test Automation;bit spa;Torino, PIE, IT;indeed;Media;Non specificato;Dipendente;Sì;1;L'offerta si concentra sull'automazione dei test, che può essere in linea con le preferenze di Diego per l'analisi e l'automazione.;L'offerta richiede almeno 1 anno di esperienza in automazione dei test, che potrebbe essere un limite per Diego come neolaureato.;Bit spa cerca un Automation Tester con esperienza in automazione dei test. L'azienda opera in diversi settori e offre lavoro in team di oltre 160 professionisti.;N/D;N/D;25.000€-35.000€;Buona;No;Bit spa è un System Integrator ICT giovane e innovativo con sedi a Torino e Milano.;Junior Automation Tester;https://it.indeed.com/viewjob?jk=7af383dd0fa7d714;
Full Remote IT;7;Valutabile;CIAM Security Engineer – Nevis IAM;ALTEN;;linkedin;Media;Non specificato;Dipendente;Sì;0;Esperienza in Cybersecurity e IAM;Richiede programmazione, non adatta a chi vuole evitare il codice;CIAM Security Engineer per Nevis IAM, ALTEN;N/D;N/D;35.000€-45.000€;Buona;Sì;ALTEN è una società di consulenza e ingegneria;Junior Cybersecurity Analyst;https://www.linkedin.com/jobs/view/4377340410;
Torino;7;Valutabile;Analytical QC & AS&T Expert;Novartis Italia;Saluggia, Piedmont, Italy;linkedin;Media;Non specificato;Dipendente;Sì;0;L'offerta sembra allineata con le sue preferenze per logica e analisi.;Potrebbe richiedere una programmazione più intensa di quanto Diego preferisca.;Novartis Italia cerca un Analytical QC & AS&T Expert. L'offerta sembra adatta a un neolaureato con competenze in IT.;N/D;N/D;30.000€-45.000€;Ottima;Sì;Novartis Italia è un'azienda farmaceutica di grandi dimensioni con una buona reputazione.;Junior Quality Assurance;https://www.linkedin.com/jobs/view/4373188588;
Torino;7;Valutabile;Support Technology Engineer;The Goodyear Tire & Rubber Company;Lu, Piedmont, Italy;linkedin;Media;Sì;Dipendente;Sì;0;L'azienda sembra offrire un ambiente di lavoro ibrido o smart working.;La richiesta di programmazione potrebbe non essere in linea con la sua preferenza per logica e analisi.;L'offerta sembra adatta per Diego, con possibilità di smart working e contratto come dipendente.;N/D;N/D;25.000€-35.000€;Ottima;Sì;The Goodyear Tire & Rubber Company è un'azienda multinazionale nota e rispettata.;Junior Cloud Support Engineer;https://www.linkedin.com/jobs/view/4376722340;
Full Remote IT;7;Valutabile;Software Tester (test automation con playwright);Esprimo S.r.l.;;linkedin;Media;Sì;Dipendente;Sì;0;L'offerta richiede test automation con Playwright, coerente con le sue conoscenze di programmazione.;Diego preferisce ruoli con meno programmazione e più focalizzati su logica e analisi.;L'offerta è per un Software Tester con test automation utilizzando Playwright. Smart working disponibile.;N/D;N/D;25.000€-35.000€;Sconosciuta;Sì;Esprimo S.r.l. potrebbe richiedere una ricerca più approfondita per valutarne la reputazione.;Junior QA Tester;https://www.linkedin.com/jobs/view/4374289854;
Full Remote IT;7;Valutabile;Junior Specialist CRM Multicanale;Cassa Centrale Banca;Trento, TRE, IT;indeed;Media;No;Dipendente;Sì;0;Progetto CRM interessante;Sede a Trento, non remote;Junior Specialist CRM Multicanale, sviluppo CRM di Gruppo;N/D;N/D;25.000€-35.000€;Buona;Sì;Gruppo bancario con sede storica a Trento;Junior AI Automation Specialist;https://it.indeed.com/viewjob?jk=c395864af103cef0;
Torino;7;Valutabile;IT Solution Designer and Test - Manufacturing and Operations;Ferrero;Alba, Piedmont, Italy;linkedin;Media;Non specificato;Dipendente;Sì;0;Titolo del ruolo in linea con le sue preferenze per analisi e QA;Programmazione richiesta, potrebbe non essere adatta alle sue preferenze;Ruolo IT in Ferrero, azienda con buona reputazione;N/D;N/D;25.000€-35.000€;Ottima;Sì;Ferrero è un'azienda nota e rispettata nel settore;Junior IT Operations;https://www.linkedin.com/jobs/view/4334118817;
Full Remote IT;7;Valutabile;QA Automation Tester;ADENTIS Italia;;linkedin;Media;Non specificato;Non specificato;Sì;0;L'offerta si concentra su QA Automation, in linea con le sue preferenze.;La richiesta di programmazione potrebbe essere un limite per Diego che preferisce non programmare molto.;L'offerta di QA Automation Tester da ADENTIS Italia potrebbe essere adatta a Diego.;N/D;N/D;25.000€-35.000€;Buona;Sì;Azienda con una buona reputazione per i junior IT.;Junior QA Tester;https://www.linkedin.com/jobs/view/4377684595;
Full Remote IT;7;Valutabile;Salesforce Consultant;ProActivity;;linkedin;Media;Non specificato;Non specificato;Sì;1;L'offerta riguarda un ruolo di consulenza che potrebbe valorizzare le sue abilità di analisi e logica.;L'offerta richiede competenze specifiche su Salesforce che Diego potrebbe non possedere.;Offerta per Salesforce Consultant presso ProActivity. Richiede competenze di consulenza e analisi.;N/D;N/D;25.000€-35.000€;Sconosciuta;Sì;Azienda non nota, richiede ulteriori ricerche per valutarne la reputazione.;Junior Salesforce Administrator;https://www.linkedin.com/jobs/view/4375697589;
Torino;7;Valutabile;Stage- Tesi- MBSE: Functional Analysis;Leonardo;Torino, PIE, IT;indeed;Media;Non specificato;Stage;Sì;0;Opportunità di lavorare con un'azienda leader nel settore Aerospazio e Difesa;Non specificato se ci saranno possibilità di utilizzare le sue abilità in AI Automation e No-Code;Stage in Functional Analysis per studenti dell'ultimo anno magistrale in discipline STEM;N/D;N/D;Non stimabile;Ottima;Non specificato;Leonardo è un gruppo industriale internazionale con una solida presenza in Italia e all'estero;Stage Informatica Torino;https://it.indeed.com/viewjob?jk=e3d77b1191666a16;
Full Remote IT;7;Valutabile;SECURITY ENGINEER – SECOPS & EXPOSURE MANAGEMENT;iTway;Milano, LOM, IT;indeed;Media;Non specificato;Dipendente;Sì;0;Competenze in cybersecurity e interesse per l'analisi e la sicurezza;La richiesta di un Security Engineer potrebbe richiedere più programmazione di quanto Diego desideri;L'offerta di iTway per un Security Engineer sembra adatta a Diego per le sue competenze in cybersecurity e i valori aziendali allineati con la sua ricerca di un ambiente di lavoro dinamico;N/D;N/D;35.000€-45.000€;Buona;Sì;iTway sembra essere un'azienda dinamica e innovativa con una forte attenzione alla formazione e allo sviluppo dei propri dipendenti;Junior ServiceNow;https://it.indeed.com/viewjob?jk=d5658d133889a853;
Full Remote IT;7;Valutabile;UFFICIO IT – ANALISTA TECNICO-FUNZIONALE JUNIOR (PROCESSI COMMERCIALI);Supermercati Tosano;Cerea, VEN, IT;indeed;Bassa;Non specificato;Dipendente;Sì;0;Offre possibilità di lavorare su processi commerciali e digitalizzazione;Non menziona specificamente l'utilizzo di AI o No-Code;Posizione come Analista Tecnico-Funzionale Junior presso Supermercati Tosano;N/D;N/D;25.000€-35.000€;Buona;Sì;Azienda solida e radicata nel territorio italiano;Analista Funzionale Junior;https://it.indeed.com/viewjob?jk=41bbc70b6712a7b6;
Full Remote IT;7;Valutabile;Analista Funzionale;ADENTIS Italia;Piedmont, Italy;linkedin;Media;Non specificato;Non specificato;Sì;0;Ruolo di analista funzionale in linea con le sue preferenze;Mancanza di dettagli sul tipo di contratto e smart working;Offerta per Analista Funzionale presso ADENTIS Italia, ruolo in linea con le preferenze di Diego;N/D;N/D;25.000€-35.000€;Buona;Sì;Azienda con una buona reputazione nel settore IT;Analista Funzionale Junior;https://www.linkedin.com/jobs/view/4378846507;
Full Remote IT;7;Valutabile;Analista Funzionale – Esperienza in Capital Markets / Trading;BEGEAR;;linkedin;Media;Non specificato;Dipendente;Sì;1;Esperienza in Capital Markets / Trading potrebbe essere interessante;Non specificato se si concentra su analisi o programmazione;Analista Funzionale per Capital Markets / Trading, BEGEAR;N/D;N/D;30.000€-40.000€;Sconosciuta;Sì;BEGEAR è un'azienda sconosciuta, richiede ulteriori ricerche;Analista Funzionale Junior;https://www.linkedin.com/jobs/view/4374875943;
Full Remote IT;7;Valutabile;Analista Funzionale – Settore Acquiring / POS;Deda Speed;Milan, Lombardy, Italy;linkedin;Media;Non specificato;Dipendente;Sì;1;Ruolo di analista funzionale in linea con le sue preferenze;Programmazione richiesta non specificata;Offerta per Analista Funzionale nel settore Acquiring/POS, junior-friendly;N/D;N/D;25.000€-35.000€;Buona;Sì;Deda Speed sembra essere un'azienda interessante per i giovani professionisti IT;Analista Funzionale Junior;https://www.linkedin.com/jobs/view/4376766691;
Full Remote IT;7;Valutabile;Analista funzionale;ADENTIS Italia;;linkedin;Media;Non specificato;Non specificato;Sì;0;Il ruolo di Analista funzionale potrebbe valorizzare le sue capacità di analisi e logica;Potrebbe richiedere una programmazione più intensa di quanto Diego preferisca;L'offerta sembra adatta per un neolaureato con competenze in ambito IT e voglia di lavorare come Analista funzionale;N/D;N/D;25.000€-35.000€;Buona;Sì;ADENTIS Italia sembra essere un'azienda con una buona reputazione nel settore IT;Analista Funzionale Junior;https://www.linkedin.com/jobs/view/4376084609;
